Time	WaterLevel_cm
2012051822	6.336900
2012051823	6.196080
2012051900	6.055260
2012051901	5.914440
2012051902	5.773620
2012051903	5.632800
2012051904	5.421570
2012051905	5.280750
2012051906	5.139930
2012051907	4.999110
2012051908	4.858290
2012051909	4.647060
2012051910	4.506240
2012051911	4.365420
2012051912	4.224600
2012051913	4.013370
2012051914	3.802140
2012051915	3.661320
2012051916	3.450090
2012051917	3.238860
2012051918	3.027630
2012051919	2.886810
2012051920	2.816400
2012051921	2.745990
2012051922	2.675580
2012051923	2.605170
2012052000	2.534760
2012052001	2.534760
2012052002	2.464350
2012052003	2.464350
2012052004	2.393940
2012052005	2.464350
2012052006	2.464350
2012052007	2.393940
2012052008	2.323530
2012052009	2.323530
2012052010	2.323530
2012052011	2.323530
2012052012	2.253120
2012052013	2.182710
2012052014	2.182710
2012052015	2.182710
2012052016	2.323530
2012052017	2.534760
2012052018	2.816400
2012052019	3.168450
2012052020	3.661320
2012052021	4.295010
2012052022	4.999110
2012052023	5.914440
2012052100	6.970590
2012052101	8.097150
2012052102	9.294120
2012052103	10.350300
2012052104	11.265600
2012052105	11.969700
2012052106	12.603400
2012052107	13.096300
2012052108	13.589100
2012052109	14.011600
2012052110	14.363600
2012052111	14.715700
2012052112	14.997300
2012052113	15.208600
2012052114	15.490200
2012052115	15.771800
2012052116	15.983100
2012052117	16.264700
2012052118	16.546300
2012052119	16.757600
2012052120	16.968800
2012052121	17.250500
2012052122	17.461700
2012052123	17.672900
2012052200	17.954500
2012052201	18.165800
2012052202	18.377000
2012052203	18.588200
2012052204	18.799500
2012052205	18.940300
2012052206	19.151500
2012052207	19.362800
2012052208	19.503600
2012052209	19.644400
2012052210	19.785200
2012052211	19.926000
2012052212	19.996400
2012052213	20.066800
2012052214	20.207700
2012052215	20.278100
2012052216	20.348500
2012052217	20.489300
2012052218	20.630100
2012052219	20.770900
2012052220	20.841400
2012052221	20.911800
2012052222	21.052600
2012052223	21.123000
2012052300	21.193400
2012052301	21.263800
2012052302	21.334200
2012052303	21.404600
2012052304	21.475100
2012052305	21.545500
2012052306	21.545500
2012052307	21.615900
2012052308	21.615900
2012052309	21.686300
2012052310	21.686300
2012052311	21.686300
2012052312	21.686300
2012052313	21.615900
2012052314	21.615900
2012052315	21.545500
2012052316	21.545500
2012052317	21.545500
2012052318	21.545500
2012052319	21.545500
2012052320	21.545500
2012052321	21.475100
2012052322	21.475100
2012052323	21.475100
2012052400	21.404600
2012052401	21.334200
2012052402	21.263800
2012052403	21.193400
2012052404	21.193400
2012052405	21.123000
2012052406	21.123000
2012052407	21.052600
2012052408	20.982200
2012052409	20.911800
2012052410	20.770900
2012052411	20.630100
2012052412	20.418900
2012052413	20.207700
2012052414	20.066800
2012052415	19.855600
2012052416	19.644400
2012052417	19.503600
2012052418	19.362800
2012052419	19.292300
2012052420	19.221900
2012052421	19.151500
2012052422	19.151500
2012052423	19.081100
2012052500	19.081100
2012052501	19.010700
2012052502	18.940300
2012052503	18.869900
2012052504	18.869900
2012052505	18.869900
2012052506	18.869900
2012052507	18.869900
2012052508	18.869900
2012052509	18.799500
2012052510	18.799500
